"year" "team_name" "team_score" "nr_wins" "nr_losses" "nr_pushes" "nr_wins_ats" "nr_losses_ats" "nr_pushes_ats"
2008 "Arizona Cardinals" 427 9 7 0 9 7 0
2008 "Atlanta Falcons" 391 11 5 0 11 5 0
2008 "Baltimore Ravens" 385 11 5 0 11 5 0
2008 "Buffalo Bills" 336 7 9 0 7 9 0
2008 "Carolina Panthers" 414 12 4 0 12 4 0
2008 "Chicago Bears" 375 9 7 0 9 7 0
2008 "Cincinnati Bengals" 204 4 11 1 4 11 1
2008 "Cleveland Browns" 232 4 12 0 4 12 0
2008 "Dallas Cowboys" 362 9 7 0 9 7 0
2008 "Denver Broncos" 370 8 8 0 8 8 0
2008 "Detroit Lions" 268 0 16 0 0 16 0
2008 "Green Bay Packers" 419 6 10 0 6 10 0
2008 "Houston Texans" 366 8 8 0 8 8 0
2008 "Indianapolis Colts" 377 12 4 0 12 4 0
2008 "Jacksonville Jaguars" 302 5 11 0 5 11 0
2008 "Kansas City Chiefs" 291 2 14 0 2 14 0
2008 "Miami Dolphins" 345 11 5 0 11 5 0
2008 "Minnesota Vikings" 379 10 6 0 10 6 0
2008 "New England Patriots" 410 11 5 0 11 5 0
2008 "New Orleans Saints" 463 8 8 0 8 8 0
2008 "New York Giants" 427 12 4 0 12 4 0
2008 "New York Jets" 405 9 7 0 9 7 0
2008 "Oakland Raiders" 263 5 11 0 5 11 0
2008 "Philadelphia Eagles" 416 9 6 1 9 6 1
2008 "Pittsburgh Steelers" 347 12 4 0 12 4 0
2008 "San Diego Chargers" 439 8 8 0 8 8 0
2008 "San Francisco 49ers" 339 7 9 0 7 9 0
2008 "Seattle Seahawks" 294 4 12 0 4 12 0
2008 "St. Louis Rams" 232 2 14 0 2 14 0
2008 "Tampa Bay Buccaneers" 361 9 7 0 9 7 0
2008 "Tennessee Titans" 375 13 3 0 13 3 0
2008 "Washington Redskins" 265 8 8 0 8 8 0
2009 "Arizona Cardinals" 375 10 6 0 10 6 0
2009 "Atlanta Falcons" 363 9 7 0 9 7 0
2009 "Baltimore Ravens" 391 9 7 0 9 7 0
2009 "Buffalo Bills" 258 6 10 0 6 10 0
2009 "Carolina Panthers" 315 8 8 0 8 8 0
2009 "Chicago Bears" 327 7 9 0 7 9 0
2009 "Cincinnati Bengals" 305 10 6 0 10 6 0
2009 "Cleveland Browns" 245 5 11 0 5 11 0
2009 "Dallas Cowboys" 361 11 5 0 11 5 0
2009 "Denver Broncos" 326 8 8 0 8 8 0
2009 "Detroit Lions" 262 2 14 0 2 14 0
2009 "Green Bay Packers" 461 11 5 0 11 5 0
2009 "Houston Texans" 388 9 7 0 9 7 0
2009 "Indianapolis Colts" 416 14 2 0 14 2 0
2009 "Jacksonville Jaguars" 259 7 9 0 7 9 0
2009 "Kansas City Chiefs" 294 4 12 0 4 12 0
2009 "Miami Dolphins" 360 7 9 0 7 9 0
2009 "Minnesota Vikings" 470 12 4 0 12 4 0
2009 "New England Patriots" 427 10 6 0 10 6 0
2009 "New Orleans Saints" 510 13 3 0 13 3 0
2009 "New York Giants" 402 8 8 0 8 8 0
2009 "New York Jets" 348 9 7 0 9 7 0
